,title,abstract,doi,asreview_label,asreview_time,asreview_note
494,"Characteristics, fate, and sources of microplastics contaminant in surface water and sediments of river water","Although developing countries are huge producers of plastic debris, few studies on MPs in freshwater systems, a major contributor to oceans, have been done. In this investigation, we estimated the abundance, shape, size, and potential sources of MPs in river water and sediments taken from the freshwater of the Subarnarekha and Kharkai rivers in Jamshedpur. Four types of MPs were identified among the analyzed data: fragments, films, foams, and fibers. These MPs were examined using a stereomicroscope and their polymer composition was identified using ATR-FTIR spectroscopy. The quantitative assessment of our study revealed a mean abundance of MPs 9.55 +/- 4.87 items/L (average +/- SD, n = 9) in water and 270.88 +/- 105.89 items/kg (average +/- SD, n = 9) in sediment samples. The morphological distribution of MP particles revealed that fibers account of 44.2 % of MPs particles, followed by film (24.4 %), fragments (20.9 %), and pellets/foam (10.5 %) in water. Fiber accounts 48.3 % of total MPs shape followed by fragments (20.6 %), foam/pellets (16.4 %) and film (14.7 %) in sediments. According to the MP size distribution, 84.9 % of the MPs were between <125 <mu>m and 1000 mu m in water, while 94.0 % of the particles were between 125 mu m and 5000 mu m. The black color MPs accounted for 27. 0 % in water and 20.0 % in sediments, followed by blue (24.0 %), and white (19.0 %) in water and sediments, respectively. The most abundant polymer composition found was 30.0 % and 28.2 % of polyester in water and sediment samples respectively, which was followed by polypropylene 37.7 %, polyvinyl chloride 36.2 %, polyethylene 29.7 %, polystyrene 25.1 %, and polyamide 13.1 % in water and sediments. To reduce microplastic pollution, focus on mitigation of plastic waste, improving waste management, and implementing practical solutions.",10.1016/j.pce.2024.103596,1,11/11/2025 13:04,
28,"Occurrence, characteristics, and risk assessment of microplastics and polycyclic aromatic hydrocarbons associated with microplastics in surface water and sediments of the Konya Closed Basin, Turkey","The presence of polycyclic hydrocarbons (PAHs) and microplastics (MPs) in aquatic environments affects the ecosystems and threatens human health. In this study, the abundance, composition, and morphological characteristics of MPs were determined for the first time in the inland freshwater resources of the Konya Closed Basin, Turkey. The abundance of MPs ranged from 1139 to 23,444 particles/m(3) and 150 to 3510 particles/kg in the surface water and sediment, respectively. Fragments and fibers were the most abundant MP shapes in the surface waters (51%, 34%) and sediments (29%, 40%), followed by films, pellets, and foams. Transparent and white MPs were present at the highest percentage in surface waters (72%) and sediments (69%), followed by blue, grey, black, brown, and green. In addition, polyethylene, polypropylene, and cellophane were identified as the main polymers in surface waters (34%, 25%, 24%) and sediments (37%, 17%, 31%). In the Konya Closed Basin, 35% of the surface water samples and 54% of the sediment samples were exposed to very high contamination (CF ??? 6). Surface waters (PLI: 2.51) and sediments (PLI: 1.67) in the basin were contaminated (PLI > 1) with MPs. The 16 PAHs sorbed on MPs in the surface water and sediment ranged from 394 to 24,754 ng/g and from 37 to 18,323 ng/g, respectively. Phenanthrene and fluoranthene were the most abundant PAHs sorbed on MPs in all surface waters and sediments. Two to three-ring PAH compounds sorbed on MPs were also dominantly detected in surface waters and sediments, accounting for 68% and 78% of the total 16 PAHs, respectively. The source of PAHs carried by MPs in the Konya Closed Basin was mainly of petrogenic origin. Incremental lifetime cancer risk (ILCR) results indicated that the maximum ILCR values were higher than the EPA acceptable level (10(-6)) for child (2.95 ?? 10(-5)) and adult (1.46 ?? 10(-4)), indicating a potential cancer risk.",10.1007/s11356-024-35029-4,1,11/11/2025 13:06,
588,Characteristics and spatial distribution of microplastics in the lower Ganga River water and sediment,"Although India is one of the major plastic-waste-generating countries, few studies have been conducted on microplastics (MPs) in freshwater systems that are key contributors to oceans. The current study explores MPs in sediments and water that were collected at five major cities across the Ganga River. MPs number and mass density range in sediment were found to be 17 to 36 items/kg dry weight (d.w.) and 10 to 45 mg/kg d.w. of sediments, respectively, while in the water sample, they were 380 to 684 items/1000 m(3) and 143 to 340 mg/1000 m(3), respectively. Overall, white color and film-shaped MPs were the major contributors in all samples. MPs of 2.5-5 mm size contributed to a greater number and mass as compared to other fractions. Polyethylene was found to be a widely distributed plastic-type reflecting its high usability.",10.1016/j.marpolbul.2020.111960,1,11/11/2025 13:06,
581,"Occurrence, distribution and risk assessment of microplastics and polycyclic aromatic hydrocarbons in East lake, Hubei, China","The pollution of microplastics (MPs) and polycyclic aromatic hydrocarbons (PAHs) in the environment is a global problem, which has attracted extensive attention of many researchers. In present study, MPs and PAHs are investigated to study the impact of human activities and their possible relationship in China's second largest urban lake, East Lake. The abundance of MPs are 3329.19 ?? 2059.26 particles/m(3) and 2207.56 ?? 1194.04 particles/kg in water and sediment, respectively. MPs are predominantly characterized by fibers, polypropylene (PP) and polyethylene (PE), colorlessness in water and sediment. The abundance of MPs in water with frequent human activities is higher, which is reversed in sediments, indicating that disturbance is not conducive to the enrichment of MPs in sediments. The concentration of 16 PAHs are 36.95 ?? 13.76 ng/L and 897.08 ?? 232.34 ng/g in water and sediment, respectively. PAHs in water are mainly 2-3-ring, while there are 4-ring PAHs in sediments. The good corresponding relationship between MPs and PAHs indicates that human activities have an important impact on the distribution of pollutants compared to the interaction of pollutants. In addition, the significant positive correlation between lakeshore length and water MPs abundance indicates that surface runoff may be an important source of water MPs. The pollution load index shows that MPs in sediment has reached moderate to severe pollution level, while the water is slightly polluted level. The potential ecological risk assessment results show that more than half of the sediment sites are at dangerous to very dangerous ecological risk level.",10.1016/j.chemosphere.2023.137864,1,11/11/2025 13:06,
157,"Occurrence and spatial distribution of microplastics in water and sediments of Hatiya Island, Bangladesh and their risk assessment","This research has evaluated the MPs distribution, characteristics, and potential threats of MPs in surface water and sediments from Hatiya Island. The results showed that the abundance of MPs was 139 ?? 44 items/m3 in surface water and 493 ?? 80 items/kg dw in sediments, indicating higher levels of MPs contamination in sediment samples. Fibers were the predominant kind of microplastics, and microscopic sizes (0.3?€?1.5 mm) MPs were generally more frequent and largely present in both the surface water and sediments. Fourier-transform infrared spectroscopy (FTIR) confirmed that polyethylene terephthalate was the major polymer component of microplastics in surface water, whereas polyethylene was the most abundant polymer in sediments. MPs contamination risk was examined based on multiple risk assessment models. Nemerow pollution index (NPI) and pollutant load index (PLI) show minimal pollution levels of MPs. But potential hazard index (PHI), potential ecological risk factor (Er), and potential ecological risk index (RI), indicate severe MPs contamination due to the presence of polyurethane, polycarbonate, polyvinyl chloride, epoxy that were hazardous MPs and exhibited a critical concern for MPs risk. These statistics will help to understand the environmental difficulties generated by MPs and which hazard is waiting for mankind in the future. ?? 2024 Elsevier B.V., All rights reserved.",10.1016/j.jenvman.2024.122697,1,11/11/2025 13:06,
659,"Microplastic pollution characteristics and ecological risk assessment in the Wuding River Basin, China","Microplastics (MPs), as a new type of environmental pollutant, have attracted extensive attention in recent years. However, there has been relatively little research specifically focusing on MPs in the Yellow River Basin, China, particularly regarding MP migration patterns. Based on surface water and sediment samples from 19 sampling sites in the Wuding River (WDR), the abundances and characteristic distributions of MPs were analyzed, and the environmental factors affecting their distribution and potential ecological risks were evaluated. The results showed that the MP abundances in surface water and sediments of the WDR were significantly different (P < 0.05), with mean values of 2.98 ?? 0.69 items/L and 419.47 ?? 75.61 items/kg, respectively. In terms of MP characteristics, the most common size class was 0.1-0.5 mm in surface water. Polyethylene (PE, 32.50%) and polypropylene (PP, 27.50%) were the main polymer types of MPs in surface water. Although similar MP characteristics were observed in sediments, there were significantly more particles in the <0.1 mm particle size (P < 0.05), which was 15.0% higher than in surface water. Also, more high-density MP fragments were observed in sediment samples. The retention of MPs in sediments was influenced by the MP characteristics (density, shape, particle size) and sediment particle size. In contrast, the MP abundance in surface water was more closely related to the presence of other environmental pollutants, such as total phosphorus (WTP) and ammonia nitrogen (WAN). Temperature (T), agricultural land (AGR), and residential land (RES) only had significant effects on the distribution of MPs in surface water (P < 0.05). Potential ecological risk assessments revealed that MP pollution in sediments was more serious than in surface water, especially in the middle and lower reaches. The results of this study are important for understanding MP transport in a sandy river and for eliminating potential sources of MPs.",10.1016/j.envpol.2024.124228,1,11/11/2025 13:07,
481,"Microplastic particles in river sediments and water of southwestern Nigeria: insights on the occurrence, seasonal distribution, composition, and source apportionment","Microplastics (MPs) are globally recognized as an emerging environmental threat, particularly in the aquatic environment. This study presents baseline data on the occurrence and distribution of MPs in sediments and surface water of major rivers in southwestern Nigeria. Microplastics were extracted by density separation and polymer identification using Fourier transformed infrared spectroscopy in attenuated total reflectance mode (FTIR-ATR). The abundance of MPs in surface sediment and water samples across all locations ranged from 12.82 to 22.90 particle/kg dw and 6.71 to 17.12 particle/L during the dry season and 5.69 to 14.38 particle/kg dw and 12.41 to 22.73 particle/L during the wet season, respectively. On average, fiber constituted the highest percentage of MP in sediments (71%) and water (67%) while foam accounted for the lowest values of 0.6% and 1.7%, respectively. Polypropylene (PP) and polyethylene (PE) were the main MPs across all locations based on Fourier transform infrared spectroscopy (FTIR). MPs of size < 1 mm were the most abundant (??? 55%) on average in both water and sediments. The study identified run-off from human activities and industrial wastewater as potential sources of MP exposure based on positive matrix factorization. The study suggests assessing the impact of different land-use activities on MPs occurrence and distribution in addition to quantifying MPs in seafood as a way forward in food safety management systems for further studies. This study confirmed the occurrence and widespread distribution of MPs in surface water and sediments and provides a database on MP pollution in Nigeria.",10.1007/s11356-023-31118-y,1,11/11/2025 13:08,
517,"Occurrence and risk assessment of microplastics in surface water, sediment, and biota of Surma River, Bangladesh","Pollution from microplastics (MPs) has become a major environmental concern worldwide, impacting ecosystems severely. Bangladesh is one of the developing nations, with concerning issues of improper plastic trash handling by poor recycling infrastructure. The present study focuses on MPs pollution in the Surma River, which is in the northeastern part of the country. MPs in the water, sediment, and biota sample were observed in the study. Density separation, microscopic observations, and Fourier transform infrared spectroscopy (FTIR) analysis have been conducted for MPs identification and quantification. MPs concentrations were observed at 5-20 items/L in surface water, 360-960 items/kg in sediment, and 2-3.6 items/species in biota. Fiber shapes, 1-2 mm sizes, and transparent colored MPs were the most prevalent type in surface water. While fragment shape, 1-2 mm sizes, and black MPs were most common in sediment samples. For biota samples, fiber shape, 1-2 mm sizes, and black MPs were the most prevalent. Moreover, risk assessment indices were examined for the individual sites, including contamination factors (CF), polymeric hazard assessment (PHA), pollution risk index (PRI), and pollution load index (PLI). PLI recorded for surface water and sediment are 1.92 and 2.69, respectively, indicating substantial contamination in the Surma River. This study provides the first multi-compartment analysis of microplastic pollution in the Surma River. The findings can inform future mitigation strategies, waste management policies, and contribute to global efforts in combating the pervasive issue of MPs pollution.",10.1016/j.jconhyd.2025.104620,1,11/11/2025 13:09,
341,"Occurrence and Distribution of Microplastics Pollution in Surface Water and Sediments of Opak River, Yogyakarta","This study investigated the abundance of microplastics in surface water and sediments of the Opak River in Yogyakarta, Indonesia. Water and sediment samples were collected from six sampling points (P1-P6) chosen based on the accessibility and possible entry channels of microplastics. The samples were digested using 30% H2O2 using a 0.05 M Fe(II) catalyst at 70 degrees C. The density separation of microplastics was performed using a saturated NaCl solution. The abundance, shape, and color of microplastics were observed using a microscope, and the polymers of microplastics were qualitatively analyzed using Attenuated Total Reflection-Fourier Transform Infrared Spectroscopy (ATR-FTIR). The microplastics found in the surface water ranged from 4.15 to 12.3 particles/L, while in sediments, they ranged from 960 to 3080 particles/kg dry sediment. The shapes of microplastics were dominated by fragments, and other shapes such as pellet, foam, film, and fiber were also found. The colors included black, blown, transparent, red, green, and yellow, with black as the dominating color. Some polymers found in the microplastics were polystyrene, high-density polyethylene, polycarbonate, and nylon. The results of this study contributed to the advancement of the investigation of microplastics in river environments.",10.15244/pjoes/190918,1,11/11/2025 13:09,
628,First Assessment of Microplastic Pollution in Reservoir Dams: A Case Study from Northwest Tunisia,"Microplastic (MP) pollution in reservoirs is gaining growing global attention. This study presents the first assessment of MP pollution in the surface waters and sediments of three dam reservoirs in northwest Tunisia, providing valuable baseline data for understanding MP pollution in managed freshwater systems. To our knowledge, this is the first study of its kind not only in Tunisia but also in North Africa, addressing a significant data gap in the global understanding of MPs in freshwater environments. Extracted MPs were categorized by type, color, and size. Representative particles from the three sites were analyzed using Fourier Transform Infrared Spectroscopy in attenuated total reflectance mode (FTIR-ATR) to identify polymer composition. Results showed that MP concentrations ranged from 10.5 to 12.38 items L-1 in surface waters and from 157.44 to 316.12 items kg-1 dry weight (dw) in sediments, highlighting significant pollution in these reservoirs. Sediment contamination was More severe in urban areas. MPs Mainly identified in three types as fibres, fragments, and films, appearing in various colors, including black, clear, blue, red, green, and white. Fibres were the Most common type in both matrices. MP sizes ranged from 0.1 to 5 mm, with particles between 0.1 and 0.5 mm being the most dominant, suggesting potential risks to aquatic life. FTIR-ATR analysis revealed polyethylene as the most abundant polymer (66.67%), followed by polypropylene (33.33%). These findings contribute to the global discourse on freshwater MP pollution, emphasizing the need for further monitoring and mitigation strategies in reservoir ecosystems worldwide.",10.1007/s11270-025-08589-5,1,11/11/2025 13:10,
