Unique_ID,Std_Value_m3,Gear_Category,Natural Discharge Upstream,Land Surface Runoff Local,Lake Volume Upstream,Reservoir Volume Upstream,River Area Local,River Area Upstream,River Volume Local,River Volume Upstream,Elevation Local,Elevation Upstream,Terrain Slope Local,Terrain Slope Upstream,Stream Gradient Local,Temperature Local,Temperature Upstream,Precipitation Local,Precipitation Upstream,Potential Evap Local,Potential Evap Upstream,Actual Evap Local,Actual Evap Upstream,Cropland Extent Local,Cropland Extent Upstream,Pasture Extent Local,Pasture Extent Upstream,Wetland All Local,Wetland All Upstream,Wetland Land Local,Wetland Land Upstream,Population Local,Population Upstream,Urban Extent Local,Urban Extent Upstream,Road Density Local,Road Density Upstream,Human Footprint Local,Human Footprint Upstream,Human Dev Index Local,HYBAS_ID
REC_00002,2650000.0,Nets,8.116,1589.0,0.0,0.0,561940.0,561940.0,283704.0,283704.0,34.0,34.0,0.6000000000000001,0.6000000000000001,2.2,27.200000000000003,27.200000000000003,2181.0,2181.0,1676.0,1676.0,1425.0,1425.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2245922.0,2245921.0,100.0,100.0,10343.0,10343.0,34.5,34.5,0.6960000000000001,5120202070.0
REC_00003,2413000.0,Bulk Water,38.623,1198.0,528000000.0,523000000.0,1147610.0,4452930.0,1757694.0,4778249.0,613.0,685.0,3.5,8.4,5.800000000000001,24.6,24.0,1119.0,2303.0,1710.0,1588.0,797.0,817.0,39.0,50.0,3.0,4.0,0.0,7.0,0.0,0.0,149310.0,250162.0,69.0,15.0,3451.0,837.0,33.5,22.5,0.776,4121067310.0
REC_00005,2210000.0,Nets,8.116,1589.0,0.0,0.0,561940.0,561940.0,283704.0,283704.0,34.0,34.0,0.6000000000000001,0.6000000000000001,2.2,27.200000000000003,27.200000000000003,2181.0,2181.0,1676.0,1676.0,1425.0,1425.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2245922.0,2245921.0,100.0,100.0,10343.0,10343.0,34.5,34.5,0.6960000000000001,5120202070.0
REC_00006,2150000.0,Nets,8.116,1589.0,0.0,0.0,561940.0,561940.0,283704.0,283704.0,34.0,34.0,0.6000000000000001,0.6000000000000001,2.2,27.200000000000003,27.200000000000003,2181.0,2181.0,1676.0,1676.0,1425.0,1425.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2245922.0,2245921.0,100.0,100.0,10343.0,10343.0,34.5,34.5,0.6960000000000001,5120202070.0
REC_00007,2030000.0,Bulk Water,24.623,1082.0,179000000.0,0.0,943550.0,3071600.0000000005,1321309.0,3046180.0,580.0,647.0,1.0,5.0,2.8000000000000003,24.8,24.3,964.0,2101.0,1739.0,1628.0,760.0,811.0,43.0,58.0,1.0,4.0,0.0,4.0,0.0,0.0,182883.0,317443.0,90.0,29.0,4980.0,1393.0,37.1,24.400000000000002,0.776,4121067250.0
REC_00010,1796600.0,Bulk Water,811.597,453.0,31500000000.0,30986000000.0,1791650.0,381374300.0,7697152.0,614977625.0,5.0,368.0,0.0,6.300000000000001,0.4,28.1,26.0,1422.0,1190.0,1673.0,1733.0,1037.0,966.0,54.0,27.0,0.0,0.0,100.0,4.0,100.0,4.0,117667.0,12607950.0,87.0,4.0,3229.0,386.0,35.0,11.5,0.74,4121123330.0
REC_00012,1720000.0,Bulk Water,38.623,1198.0,528000000.0,523000000.0,1147610.0,4452930.0,1757694.0,4778249.0,613.0,685.0,3.5,8.4,5.800000000000001,24.6,24.0,1119.0,2303.0,1710.0,1588.0,797.0,817.0,39.0,50.0,3.0,4.0,0.0,7.0,0.0,0.0,149310.0,250162.0,69.0,15.0,3451.0,837.0,33.5,22.5,0.776,4121067310.0
REC_00014,1556000.0,Bulk Water,0.384,52.0,11000000.0,0.0,104030.0,104030.0,15585.0,15585.0,321.0,321.0,2.0,2.0,9.600000000000001,14.100000000000001,14.100000000000001,404.0,404.0,1071.0,1071.0,347.0,347.0,58.0,58.0,13.0,13.0,1.0,1.0,0.0,0.0,2364.0,2364.0,0.0,0.0,152.0,151.0,5.6000000000000005,5.6000000000000005,0.9,2120617650.0
REC_00015,1530000.0,Bulk Water,38.623,1198.0,528000000.0,523000000.0,1147610.0,4452930.0,1757694.0,4778249.0,613.0,685.0,3.5,8.4,5.800000000000001,24.6,24.0,1119.0,2303.0,1710.0,1588.0,797.0,817.0,39.0,50.0,3.0,4.0,0.0,7.0,0.0,0.0,149310.0,250162.0,69.0,15.0,3451.0,837.0,33.5,22.5,0.776,4121067310.0
REC_00017,1486000.0,Bulk Water,1.254,80.0,0.0,0.0,98940.0,254450.0,17827.0,42508.0,361.0,415.0,2.0,2.4000000000000004,7.300000000000001,13.700000000000001,13.200000000000001,414.0,421.0,1064.0,1046.0,356.0,363.0,58.0,54.0,27.0,25.0,0.0,0.0,0.0,0.0,917.0,1954.0,0.0,0.0,236.0,178.0,10.9,8.5,0.9,2121214000.0
REC_00018,1433000.0,Bulk Water,24.623,1082.0,179000000.0,0.0,943550.0,3071600.0000000005,1321309.0,3046180.0,580.0,647.0,1.0,5.0,2.8000000000000003,24.8,24.3,964.0,2101.0,1739.0,1628.0,760.0,811.0,43.0,58.0,1.0,4.0,0.0,4.0,0.0,0.0,182883.0,317443.0,90.0,29.0,4980.0,1393.0,37.1,24.400000000000002,0.776,4121067250.0
