Rank,HydroBASIN ID,HydroBASIN ID,Predicted Mean Abundance (items/m3),Country,Region,Commune/City,Lat,Lon
1,453698,453698,160238.70310474694,India,Maharashtra,Pune,18.51848887196451,73.77066842145607
2,434303,434303,54767.105888213504,China,Jiangsu,Nanjing,31.903606679920156,118.8491944397868
3,742703,742703,50653.673228908934,USA,Missouri,Cape Girardeau,37.50763278491843,-89.62718912638279
4,443061,443061,37023.08399309284,Thailand,Bangkok,Bangkok,13.930980278709619,100.49682820920576
5,216043,216043,36944.4932227976,Spain,Aragon,Zaragoza,41.104747048265736,-0.45208758136327093
6,453699,453699,31663.118350547007,India,Maharashtra,Pune,18.799910492143695,73.86781354558597
7,742444,742444,31601.777537288566,USA,Missouri,Noel,36.613639656113165,-94.29662233847526
8,742912,742912,28334.697651151506,USA,Missouri,Waynesville,37.68020096372912,-92.15123146126487
9,142349,142349,26930.971728295703,Nigeria,Kaduna,Kaduna,10.953617916784577,8.055745384287853
10,142347,142347,25632.187451359798,Nigeria,Kaduna,Kaduna,10.522736946108981,7.504205251514364
