subbasn,ar_sqkm,grd_cells,gen_flux,out_flux,ret_final,method
1.0,111191.8787,59,29246387.58617688,54765.70285675,0.998127437014388,Calculated
2.0,63934.83725,88,80690.50571755,1737.791682057,0.9784634924939,Calculated
3.0,141178.3897,114,92513.269318752,12591.674035533,0.863893318998935,Calculated
4.0,1697105.774,601,315008298.5143603,10534247.82586622,0.966558824400666,Calculated
5.0,1344977.542,500,206962794.5112144,4211717.82336561,0.979649879422471,Calculated
6.0,876274.889,330,118031622.72132576,4814.88510399,0.999959206821079,Calculated
7.0,692001.4168,267,85781508.67827715,66264.0436166,0.999227525318246,Calculated
8.0,501620.7088,207,94534563.48512778,14667952.21292731,0.844840324298584,Calculated
9.0,500027.2607,177,219590211.5638796,7137630.61393856,0.96749567950636,Calculated
10.0,426616.492,188,309893054.7470581,10432863.92735643,0.966333985975026,Calculated
11.0,371692.0533,149,37190810.49482135,980759.30271668,0.973628988191767,Calculated
12.0,261449.8503,102,212566712.8816395,569.67318341,0.999997320026378,Calculated
13.0,126148.4135,60,7397204.83386877,968486.4302534,0.869074001328299,Calculated
14.0,33712.73521,42,82561.380734596,2123.48961577,0.974279867937332,Calculated
15.0,560729.7032,306,538542190.9515523,11030169.9751214,0.979518466407187,Calculated
16.0,422747.9493,235,68700074.21824737,352036.604579226,0.994875746371672,Calculated
17.0,422218.7863,246,21496556.94057598,1107502.63340683,0.948479999077603,Calculated
18.0,238993.4513,146,170561534.2491362,17995525.2477399,0.894492475534055,Calculated
19.0,229095.9113,147,3827103.78577006,257184.95452943,0.932799064533945,Calculated
20.0,105218.8292,135,164640.522911664,432.69147283,0.997371901733681,Calculated
21.0,188619.4268,176,2400724.718890323,17043.88555215,0.99290052482151,Calculated
22.0,818732.4054,354,0.0,0.0,0.99,Size Mean (Size 354)
23.0,291740.9869,277,279554.72991225,231.78422992,0.999170880671585,Calculated
24.0,116871.0006,65,48966417.23379855,15246.03807,0.999688642973465,Calculated
25.0,106690.3777,43,23734118.384924237,97842.041524126,0.995877578432141,Calculated
26.0,54380.45474,35,54644839.85149845,1391803.105134358,0.974530017675655,Calculated
27.0,122761.8313,72,24316528.11878638,41477.625340829,0.998294262028764,Calculated
28.0,63713.24752,40,1746531.62500111,263783.19900485995,0.848967407615827,Calculated
29.0,132320.7154,55,10062439.42739062,1201.55085933,0.999880590500147,Calculated
30.0,81386.82709,38,42832836.54370835,98732.58491337,0.997694932372442,Calculated
31.0,179848.1777,74,382332273.87605494,131310.288848476,0.999656554526467,Calculated
32.0,306932.6153,224,274550.514224053,1710.725983136,0.993768993702412,Calculated
33.0,275799.7777,144,2607227.90127264,251475.79273355,0.90354667782943,Calculated
34.0,203920.31,103,8971324.150154801,421.549821628,0.999953011415643,Calculated
35.0,155096.9595,74,2664369.655867685,400724.518933062,0.849598752916828,Calculated
36.0,113265.1937,59,9858794.828908691,136516.55159249,0.986152815434176,Calculated
37.0,280229.2251,167,2852870.363625753,9211.01646929,0.996771316149962,Calculated
38.0,274248.5266,174,3888809.5986605,401172.4848072101,0.896839257713879,Calculated
39.0,113616.2537,61,3193201.025606811,1479.326590566,0.999536726131959,Calculated
40.0,76074.81842,36,7510518.87850463,46442.13709514,0.993816387676215,Calculated
41.0,1686454.779,602,210668119.41717583,852045.477183149,0.995955508220511,Calculated
42.0,882611.2679,329,81211574.7096747,4426196.41080511,0.945497961015675,Calculated
43.0,665200.6003,261,57339881.38281011,939082.415858801,0.983622526011358,Calculated
44.0,258003.1565,102,427199835.0432181,933659.124784861,0.997814467496949,Calculated
45.0,202757.2499,81,6851090.237754275,715915.650066226,0.895503397967081,Calculated
46.0,63422.95085,58,580579.785886005,355.664270506,0.999387398116241,Calculated
47.0,58139.19993,28,16270845.82736468,134911.50720164,0.991708390047262,Calculated
48.0,148124.3841,66,23517238.559972495,2370987.192773533,0.899180884408382,Calculated
49.0,28648.6522,36,148819.417603047,239.2678887,0.998392226682823,Calculated
50.0,70743.03548,26,12598150.557905992,18026.4738403,0.99856911744645,Calculated
51.0,161223.3977,105,76640376.65999018,3014206.42589842,0.960670777503212,Calculated
52.0,148147.4588,84,113291032.58427778,1083830.4447812128,0.990433219469732,Calculated
53.0,147298.6501,88,8747009.82865847,685405.39100712,0.921641177449981,Calculated
54.0,133878.544,78,25873527.394246023,1050952.63583951,0.959381161299513,Calculated
55.0,90076.11906,54,16115806.087476823,1793150.89440849,0.888733403425479,Calculated
56.0,46926.61066,38,3177418.77730697,2150633.22929264,0.323150840344874,Calculated
57.0,40462.32648,39,6342014.06013152,144920.20976356,0.977149181886148,Calculated
58.0,29276.17439,29,3805966.64680529,164253.33839493,0.956843200785061,Calculated
59.0,102177.3592,93,3240677.596495337,21527.430130307,0.993357120697971,Calculated
60.0,71946.44929,46,5889858.455169962,192060.694885232,0.967391288543336,Calculated
61.0,110044.7789,76,6921399.68205027,610571.7730979,0.911784927739206,Calculated
62.0,107032.8197,77,45134094.7997792,4564630.29291487,0.898865141459817,Calculated
63.0,102863.9488,71,48299079.45205266,862408.25714496,0.982144416271927,Calculated
64.0,102670.4366,64,10411514.44234797,3568594.53084531,0.657245393971664,Calculated
65.0,89533.71731,67,16316456.3689864,3830028.6975604,0.765265900208556,Calculated
66.0,84271.42809,45,14760787.52060844,292793.19485897,0.980164121023341,Calculated
67.0,116580.4691,70,5269101.212883059,301409.52149973,0.942796786525418,Calculated
68.0,98287.18499,61,8058596.030323485,219364.20672715,0.972778855534921,Calculated
69.0,88915.78083,49,4462203.94343355,465982.58640089,0.895571203757592,Calculated
70.0,78488.07225,60,2403085.158586333,96441.224040435,0.959867745969865,Calculated
71.0,55722.46024,47,2220650.62649377,270262.06740389,0.878295998398176,Calculated
72.0,99550.15073,53,20519749.99377361,266279.59253005,0.987023253567375,Calculated
73.0,118269.863,99,165120.613855572,4132.915654745,0.974970322855268,Calculated
74.0,90022.69269,101,142353.552798259,8833.27269246,0.937948350997756,Calculated
