subbasn,ret_final,ar_sqkm,mean_discharge_m3y
1.0,0.998127437014388,111191.8787,1.8788184e+09
2.0,0.9784634924939,63934.83725,2.604306e+08
3.0,0.863893318998935,141178.3897,7.848872e+08
4.0,0.966558824400666,1697105.774,1.0904016e+10
5.0,0.979649879422471,1344977.542,5.8823526e+09
6.0,0.999959206821079,876274.889,4.8472934e+09
7.0,0.999227525318246,692001.4168,6.2842373e+09
8.0,0.844840324298584,501620.7088,6.8480143e+09
9.0,0.96749567950636,500027.2607,8.596763e+09
10.0,0.966333985975026,426616.492,5.408258e+10
11.0,0.973628988191767,371692.0533,5.5026934e+09
12.0,0.999997320026378,261449.8503,8.370103e+10
13.0,0.869074001328299,126148.4135,1.3509097e+09
14.0,0.974279867937332,33712.73521,7.9884506e+08
15.0,0.979518466407187,560729.7032,1.01834995e+09
16.0,0.994875746371672,422747.9493,6.2478433e+09
17.0,0.948479999077603,422218.7863,6.026084e+08
18.0,0.894492475534055,238993.4513,5.0973245e+09
19.0,0.932799064533945,229095.9113,1.045893e+09
20.0,0.997371901733681,105218.8292,5.6855584e+08
21.0,0.99290052482151,188619.4268,9.7430426e+08
22.0,0.99,818732.4054,1.0299967e+07
23.0,0.999170880671585,291740.9869,8.4900365e+08
24.0,0.999688642973465,116871.0006,1.1685647e+09
25.0,0.995877578432141,106690.3777,6.3109766e+08
26.0,0.974530017675655,54380.45474,1.7634104e+09
27.0,0.998294262028764,122761.8313,2.0430725e+08
28.0,0.848967407615827,63713.24752,1.8627725e+08
29.0,0.999880590500147,132320.7154,2.1160062e+08
30.0,0.997694932372442,81386.82709,4.9675136e+08
31.0,0.999656554526467,179848.1777,6.7440986e+08
32.0,0.993768993702412,306932.6153,7.4213536e+08
33.0,0.90354667782943,275799.7777,3.457637e+08
34.0,0.999953011415643,203920.31,7.256263e+08
35.0,0.849598752916828,155096.9595,8.754782e+07
36.0,0.986152815434176,113265.1937,1.1700862e+08
37.0,0.996771316149962,280229.2251,8.872106e+08
38.0,0.896839257713879,274248.5266,2.7118595e+09
39.0,0.999536726131959,113616.2537,6.265795e+09
40.0,0.993816387676215,76074.81842,3.7735402e+08
41.0,0.995955508220511,1686454.779,3.7728133e+09
42.0,0.945497961015675,882611.2679,2.360335e+09
43.0,0.983622526011358,665200.6003,2.6005115e+09
44.0,0.997814467496949,258003.1565,3.0688305e+10
45.0,0.895503397967081,202757.2499,2.3998671e+09
46.0,0.999387398116241,63422.95085,1.466508e+09
47.0,0.991708390047262,58139.19993,1.7660003e+09
48.0,0.899180884408382,148124.3841,2.1287505e+09
49.0,0.998392226682823,28648.6522,7.7626125e+08
50.0,0.99856911744645,70743.03548,8.7243725e+08
51.0,0.960670777503212,161223.3977,4.6996716e+09
52.0,0.990433219469732,148147.4588,1.0622384e+10
53.0,0.921641177449981,147298.6501,9.016693e+08
54.0,0.959381161299513,133878.544,1.8396513e+09
55.0,0.888733403425479,90076.11906,1.2060293e+09
56.0,0.323150840344874,46926.61066,1.4614341e+09
57.0,0.977149181886148,40462.32648,1.0705711e+09
58.0,0.956843200785061,29276.17439,8.954119e+08
59.0,0.993357120697971,102177.3592,8.07614e+08
60.0,0.967391288543336,71946.44929,7.673924e+08
61.0,0.911784927739206,110044.7789,5.373826e+08
62.0,0.898865141459817,107032.8197,1.7915528e+09
63.0,0.982144416271927,102863.9488,2.1868431e+09
64.0,0.657245393971664,102670.4366,5.3484394e+08
65.0,0.765265900208556,89533.71731,4.7323293e+08
66.0,0.980164121023341,84271.42809,1.3098522e+09
67.0,0.942796786525418,116580.4691,3.078194e+08
68.0,0.972778855534921,98287.18499,1.6381633e+09
69.0,0.895571203757592,88915.78083,2.5392357e+08
70.0,0.959867745969865,78488.07225,5.8128403e+08
71.0,0.878295998398176,55722.46024,2.3696072e+08
72.0,0.987023253567375,99550.15073,5.0614192e+08
73.0,0.974970322855268,118269.863,8.7904806e+08
74.0,0.937948350997756,90022.69269,8.3525536e+08
75.0,0.997594481911182,78729.45093,2.7099139e+09
76.0,0.942472902453458,75244.91656,2.6222597e+09
77.0,0.999251353724596,89851.28025,8.1132205e+08
78.0,0.999685016078416,147291.0557,7.113369e+08
79.0,0.968271920461337,159313.5719,2.1665341e+09
80.0,0.916605108669422,52956.27633,3.0949728e+08
81.0,0.882347666076962,137990.9097,1.7164869e+08
82.0,0.998708843941412,237045.9883,1.9430406e+09
83.0,0.904159457079868,53750.95338,1.4302737e+09
84.0,0.993582242007738,459791.4541,3.4465646e+09
85.0,0.96763362746689,457833.8898,4.0502088e+09
86.0,0.968038631683828,441909.3534,1.2801112e+09
87.0,0.999833735590829,212079.1967,1.3381962e+10
91.0,0.998111881170414,84228.21581,8.7866394e+08
92.0,0.998018714201927,43222.05907,9.3033395e+08
93.0,0.999993891679978,319591.5013,1.7617491e+09
94.0,0.948072056103652,50399.52536,9.184392e+08
95.0,0.81023804372833,51674.98341,4.988455e+07
97.0,0.923390565223006,56307.76477,2.2529141e+08
98.0,0.95823465849101,67547.68843,2.8619472e+08
99.0,0.999985865402613,227531.3953,1.1680616e+08
100.0,0.97272635431985,36521.68875,7.6073856e+08
101.0,0.999825638330799,147791.9965,1.7517172e+09
102.0,0.993873563448012,70901.38517,2.9050144e+08
103.0,0.98371457101828,47417.57402,2.6508826e+08
104.0,0.999872843997135,360192.991,1.1895154e+09
105.0,0.989773194434106,278155.8593,1.8658682e+09
106.0,0.937613114127621,250565.9518,2.6379973e+09
