subbasn,data_cov,mask_v1,grid_cells,gen_flux,out_flux,ratio,retention,mask_v2,mask_final,ret_valid,name,river,categry,mouth,ddm30_d,stn30_d,contnnt,sea,seabasn,lon,lat,strahlr,area,ar_sqkm,land_ar,arlndfr,grd_cll,sbbsn_c,t_sbbsn_d,t_sbbsn_c,A_juC1,A_jmT1,A_jmT3,A_jmC1,A_jmC2,A_jdC1,wrld_rg,wrld_r_,mask,to_sea,mask_pnv,ret_final,method,ratio_final
1.0,1.0,0,59,29246387.58617688,54765.70285675,0.001872562985612,0.998127437014388,0,0,0.998127437014388,Alabama,Alabama,individual river,1.0,179.0,137.0,North America,Atlantic Ocean,Mexican Gulf (North),-87.75,30.75,4.0,111493.0,111191.8787,110493.8334,0.993722155,43.0,,,,,,,,,,North_America,North America,0.0,1.0,0,0.998127437014388,Calculated,0.001872562985612003
2.0,1.0,0,88,80690.50571755,1737.791682057,0.0215365075061,0.9784634924939,0,0,0.9784634924939,Alazeya,Alazeya,individual river,1.0,129.0,266.0,Asia,Arctic Ocean,Siberian Sea (East),153.75,70.75,3.0,63617.0,63934.83725,57345.34384,0.896934227,57.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.9784634924939,Calculated,0.021536507506100033
3.0,1.0,0,114,92513.269318752,12591.674035533,0.136106681001065,0.863893318998935,0,0,0.863893318998935,Albany,Albany,individual river,1.0,110.0,132.0,North America,Arctic Ocean,James Bay (Hudson Bay),-81.75,52.25,4.0,140989.0,141178.3897,133947.5601,0.94878232,72.0,,,,,,,,,,North_America,North America,0.0,1.0,0,0.863893318998935,Calculated,0.13610668100106504
4.0,1.0,0,601,315008298.5143603,10534247.82586622,0.033441175599334,0.966558824400666,0,0,0.966558824400666,Upper_subbasin,Amazon,tributary,0.0,1.0,1.0,South America,Pacific Ocean,Guiana Coast - Amazon Cone,-65.25,-2.75,4.0,1708262.0,1697105.774,1687936.316,0.994597003,555.0,juT3,10.0,jmC,0.0,0.0,0.0,0.187271,0.0,0.164718,South_America,Central and South America,0.0,1.0,1,0.966558824400666,Calculated,0.033441175599334017
5.0,1.0,0,500,206962794.5112144,4211717.82336561,0.020350120577529,0.979649879422471,0,0,0.979649879422471,Madeira_subbasin,Amazon,tributary,0.0,1.0,1.0,South America,Pacific Ocean,Guiana Coast - Amazon Cone,-59.25,-3.75,4.0,1353084.0,1344977.542,1342019.799,0.997800898,449.0,juT2,10.0,jmC,0.0,0.0,0.0,0.07927,0.0,0.164718,South_America,Central and South America,0.0,1.0,1,0.979649879422471,Calculated,0.02035012057752905
6.0,1.0,0,330,118031622.72132576,4814.88510399,4.0793178921e-05,0.999959206821079,0,0,0.999959206821079,Araguaia_Tocantins,Amazon,individual river,1.0,34.0,37.0,South America,Atlantic Ocean,Guiana Coast - Amazon Cone,-48.75,-1.25,4.0,881757.0,876274.889,867060.2278,0.98948428,290.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,South_America,Central and South America,0.0,1.0,1,0.999959206821079,Calculated,4.079317892102807e-05
7.0,1.0,0,267,85781508.67827715,66264.0436166,0.000772474681754,0.999227525318246,0,0,0.999227525318246,Negro_subbasin,Amazon,tributary,0.0,1.0,1.0,South America,Atlantic Ocean,Guiana Coast - Amazon Cone,-60.25,-2.75,4.0,696658.0,692001.4168,686577.9461,0.992162631,225.0,juT4,10.0,jmC,0.0,0.0,0.0,0.093674,0.0,0.164718,South_America,Central and South America,0.0,1.0,1,0.999227525318246,Calculated,0.0007724746817540096
8.0,1.0,0,207,94534563.48512778,14667952.21292731,0.155159675701416,0.844840324298584,0,0,0.844840324298584,Xingu_subbasin,Amazon,tributary,0.0,1.0,1.0,South America,Atlantic Ocean,Guiana Coast - Amazon Cone,-52.25,-1.75,4.0,504839.0,501620.7088,499000.2609,0.994776037,165.0,jmT2,12.0,jdC,0.0,0.0,0.0,0.0,0.0,0.082379,South_America,Central and South America,0.0,1.0,0,0.844840324298584,Calculated,0.15515967570141598
9.0,1.0,0,177,219590211.5638796,7137630.61393856,0.03250432049364,0.96749567950636,0,0,0.96749567950636,Tapajos_subbasin,Amazon,tributary,0.0,1.0,1.0,South America,Atlantic Ocean,Guiana Coast - Amazon Cone,-55.25,-2.75,4.0,503192.0,500027.2607,498434.5693,0.996814791,165.0,jmT1,12.0,jdC,0.0,0.0,0.0,0.0,0.0,0.141196,South_America,Central and South America,0.0,1.0,0,0.96749567950636,Calculated,0.03250432049364005
10.0,1.0,0,188,309893054.7470581,10432863.92735643,0.033666014024974,0.966333985975026,0,0,0.966333985975026,Middle_Amazon,Amazon,main channel,0.0,1.0,1.0,South America,Atlantic Ocean,Guiana Coast - Amazon Cone,-55.75,-1.75,5.0,429463.0,426616.492,413437.6127,0.969108369,139.0,jmC,12.0,jdC,0.0,0.0,0.0,0.0,0.0,0.164718,South_America,Central and South America,0.0,1.0,0,0.966333985975026,Calculated,0.033666014024974045
