Unique_ID,Study_ID,Title,Year,First_Author,QA_Blank_Corrected,N_Replicates,Latitude,Longitude,Range_Year,Range_Month,Samp_Year_Start,Samp_Year_End,Samp_Month_Start,Samp_Month_End,Season_Calculated,Season_WetDry,Sampling_Gear,Gear_Category,Mesh_Size_um,Sample_Depth,Sample_Volume,Digestion_Category,Separation_Category,Std_Value_m3,Shape_Fiber,Shape_Fragment,Shape_Pellet,Shape_Film,Shape_Other,Poly_PE,Poly_PP,Poly_PS,Poly_PET,Poly_PVC,Poly_PA,Poly_PC,Poly_PU,Poly_PMMA,Poly_EPS,Poly_XPS,Poly_Rayon,Poly_CA,Poly_Other,Water_Body_Type,Note,Row_Reason,Study_Reason,Final_Reason
REC_02604,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,46.273869,-85.956703,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,0.21 L,Oxidative,Other,323.8,69.12,26.47,0,4.41,0,11.5,6,31.9,0,0,0,0,0,0,0,0,0,0,50.6,Lake,"Pool E to C | Michigan | Wetland  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 47 Fibers, 18 Fragments, 3 Films / Volume 0.21 m3 | Table S1 | Acrylic (16.5%) included in Poly_Other. High concentration due to very low flow.",NA,NA,NA
REC_03093,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,41.622078,-83.318597,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,0.32 L,Oxidative,Other,62.5,55,45,0,0,0,16.9,10.2,10.1,0,0,0,0,0,0,0,0,0,0,62.8,River,"Crane Creek | Ohio | Wetland  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 11 Fibers, 9 Fragments / Volume 0.32 m3 | Table S1 | Acrylic (31.7%) included in Poly_Other.",NA,NA,NA
REC_03457,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,46.249311,-85.953311,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,12.83 L,Oxidative,Other,12.31,87.34,11.39,0.63,0.63,0,6.5,1.5,0.8,87.1,0,0,0,0,0,0,0,0,0,4.1,Lake,"Pool A to Upper Goose Pen pool | Michigan | Wetland  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 138 Fibers, 18 Fragments, 1 Film, 1 Sphere / Volume 12.83 m3 | Table S1 | Site indicated as Pool to Pool connection.",NA,NA,NA
REC_03495,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,42.991881,-76.803242,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,4.44 L,Oxidative,Other,9.91,84.09,15.91,0,0,0,22.4,0,2.8,34.2,0,0,0,0,0,0,0,0,0,40.6,River,"Black Brook | New York | Wetland  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 37 Fibers, 7 Fragments / Volume 4.44 m3 | Table S1 | Acrylic (20.7%) included in Poly_Other.",NA,NA,NA
REC_03558,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,43.451406,-88.635042,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,12.96 L,Oxidative,Other,6.94,41.11,58.89,0,0,0,14.7,79.4,2.9,0,0,0,0,0,0,0,0,0,0,2.9,River,"Rock River below Horicon NWR | Wisconsin | Agricultural  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 37 Fibers, 53 Fragments / Volume 12.96 m3 | Table S1 | Dominant polymer Polypropylene.",NA,NA,NA
REC_03567,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,43.505536,-88.591997,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,41.35 L,Oxidative,Other,6.17,85.1,8.63,0.78,5.49,0,0.8,30.2,3.4,2.8,0,0,0,0,0,0,0,0,0,62.9,River,"E. Branch Rock River | Wisconsin | Agricultural  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 217 Fibers, 22 Fragments, 14 Films, 2 Spheres / Volume 41.35 m3 | Table S1 | Acrylic (1.4%) included in Poly_Other.",NA,NA,NA
REC_03643,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,41.631656,-83.198639,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,10.32 L,Oxidative,Other,4.17,81.4,9.3,2.33,6.98,0,3.6,16.4,0,52.6,0,0,0,0,0,0,0,0,0,27.4,River,"Crane Creek Outlet to Lake Ontario | Ohio | Wetland  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 35 Fibers, 4 Fragments, 3 Films, 1 Sphere / Volume 10.32 m3 | Table S1 | Acrylic (12.7%) included in Poly_Other.",NA,NA,NA
REC_03694,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,43.527183,-88.644353,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,20.72 L,Oxidative,Other,3.38,92.86,7.14,0,0,0,5.7,0,0,48.5,0,0,0,0,0,0,0,0,0,45.8,Canal,"Main ditch at Dike Rd | Wisconsin | Agricultural  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 65 Fibers, 5 Fragments / Volume 20.72 m3 | Table S1 | Acrylic (44.4%) included in Poly_Other.",NA,NA,NA
REC_03711,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,43.337811,-84.072683,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,22.91 L,Oxidative,Other,3.14,77.78,22.22,0,0,0,14,0,14.3,0,0,0,0,0,0,0,0,0,0,71.7,River,"Shiawassee River below St Charles | Michigan | Agricultural  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 56 Fibers, 16 Fragments / Volume 22.91 m3 | Table S1 | Acrylic (61.4%) included in Poly_Other.",NA,NA,NA
REC_03767,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,46.258719,-85.968286,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,8.02 L,Oxidative,Other,2.37,63.16,26.32,5.26,5.26,0,12.6,13.9,0,43.6,0,0,0,0,0,0,0,0,0,30,Lake,"Pool B to A | Michigan | Wetland  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 12 Fibers, 5 Fragments, 1 Film, 1 Sphere / Volume 8.02 m3 | Table S1 | Acrylic (11.5%) included in Poly_Other.",NA,NA,NA
REC_03772,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,46.283072,-85.958169,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,13.4 L,Oxidative,Other,2.31,58.06,32.26,0,9.68,0,13.1,0,0,57.6,0,0,0,0,0,0,0,0,0,29.3,Lake,"Pool F to E | Michigan | Wetland  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 18 Fibers, 10 Fragments, 3 Films / Volume 13.40 m3 | Table S1 | Acrylic (13.0%) included in Poly_Other.",NA,NA,NA
REC_03784,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,43.277478,-84.089764,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,15.73 L,Oxidative,Other,2.22,68.57,22.86,2.86,5.71,0,3.9,36.2,0,34.8,0,0,0,0,0,0,0,0,0,25.1,River,"Shiawassee River | Michigan | Agricultural  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 24 Fibers, 8 Fragments, 2 Films, 1 Sphere / Volume 15.73 m3 | Table S1 | Acrylic (17.4%) included in Poly_Other.",NA,NA,NA
REC_03923,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,43.632747,-88.684239,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,109.66 L,Oxidative,Other,1.13,92.74,7.26,0,0,0,2,1,1.5,93.1,0,0,0,0,0,0,0,0,0,2.5,River,"W. branch Rock River | Wisconsin | Agricultural  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 115 Fibers, 9 Fragments / Volume 109.66 m3 | Table S1 | Acrylic (1.0%) included in Poly_Other.",NA,NA,NA
REC_03970,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,43.32165,-84.091519,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,55.95 L,Oxidative,Other,0.88,83.67,16.33,0,0,0,13.8,0,2.6,13,0,0,0,0,0,0,0,0,0,70.6,Canal,"Shiawassee River Outfall #2 | Michigan | Agricultural  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 41 Fibers, 8 Fragments / Volume 55.95 m3 | Table S1 | Acrylic (60.1%) included in Poly_Other.",NA,NA,NA
REC_04073,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,43.553717,-88.708181,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,52.16 L,Oxidative,Other,0.5,92.31,7.69,0,0,0,3.9,3.9,0,0,0,0,0,0,0,0,0,0,0,92.2,River,"Mill Creek | Wisconsin | Agricultural  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 24 Fibers, 2 Fragments / Volume 52.16 m3 | Table S1 | Dominant polymer listed as 'Other' in source.",NA,NA,NA
REC_04102,Gilbert_2024_Abellwethe,A bellwether for microplastic in wetland catchments in the Great Lakes region,2024,Dominique S. Gilbert,Yes,1,42.984308,-76.735003,2020,Sep,2020,2020,Sep,Sep,Autumn,Other/Undefined,Neuston net,Nets,100,0.3 m,50.22 L,Oxidative,Other,0.4,50,15,5,30,0,11.8,23.7,0,13.8,0,0,0,0,0,0,0,0,0,50.6,Canal,"Black Lake Outfall to Seneca River | New York | Wetland  | 30% H2O2 | K2CO3 | Stereo Microscope + FTIR | Table S4; Table S1 | 10 Fibers, 3 Fragments, 6 Films, 1 Sphere / Volume 50.22 m3 | Table S1 | Acrylic (44.9%) included in Poly_Other.",NA,NA,NA
REC_03700,Bruge_2020,A first estimation of uncertainties related to microplastic sampling in rivers,2020,Antoine Bruge,NR,16,43.304828,-0.436492,2018,Apr,2018,2018,Apr,Apr,Spring,Other/Undefined,Net,Nets,330,Surface,950 L,Oxidative,Not Reported,3.34,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,River,Gave de Pau River | Nouvelle-Aquitaine | Urban (Downstream of Pau)  | H2O2 + Fe(II) | Visual (Stereomicroscope) | Highlights; Abstract; Section 2.1 | Mean MP concentration recorded is 3.34 ?? 0.20 microplastics/m3... median value of 3.26 microplastics/m3... 16 samples are collected in the Gave de Pau River | Table 1 (Text) | Study aggregates 16 samples for uncertainty analysis. | Overall average of 16 samples. Fibers were not considered in this study (Shape_Fragment = 100%). Dispersion value (0.20) likely SE or similar error term. No chemical characterization.,NA,NA,NA
REC_00714,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.561768,5.446611,2017,Oct,2017,2017,Oct,Oct,Autumn,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.1 L,Oxidative,ZnCl2,11532,NA,NA,NA,NA,NA,11.1,34.6,2.2,0,0,0,0,0,0,0,0,0,0,52,River,"Dommel | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 | 11532 | Table S1 | Poly_Other includes Acr/PUR (4.7%), Rubbers (32.3%), Others (15.0%).",NA,NA,NA
REC_00887,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.468845,5.509891,2017,Oct,2017,2017,Oct,Oct,Autumn,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.03 L,Oxidative,ZnCl2,8450,NA,NA,NA,NA,NA,25.8,13.6,1.5,0,0,0,0,0,0,0,0,0,0,59.1,River,"Dommel | Netherlands | Urban  | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 | 8450 | Table S1 | Poly_Other includes Acr/PUR (10.2%), Rubbers (35.7%), Others (13.2%).",NA,NA,NA
REC_01009,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.564389,5.425714,2018,Feb,2018,2018,Feb,Feb,Winter,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.2 L,Oxidative,ZnCl2,6859,NA,NA,NA,NA,NA,47.1,3.3,0.3,0,0,0,0,0,0,0,0,0,0,49.3,River,"Dommel | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 (St Oedenrode 13-2) | 6859 | Table S1 | Poly_Other includes Acr/PUR (4.1%), Rubbers (42.4%), Others (2.8%).",NA,NA,NA
REC_01621,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.460012,5.501451,2017,Oct,2017,2017,Oct,Oct,Autumn,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.045 L,Oxidative,ZnCl2,2678,NA,NA,NA,NA,NA,3.5,30.8,5.5,0,0,0,0,0,0,0,0,0,0,60.2,River,"Dommel | Netherlands | Urban  | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 | 2678 | Table S1 | Poly_Other includes Acr/PUR, Rubbers, Others. Rubbers (29%) and Others (28%) high.",NA,NA,NA
REC_01812,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.564389,5.425714,2018,Jun,2018,2018,Jun,Jun,Summer,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.351 L,Oxidative,ZnCl2,1859,NA,NA,NA,NA,NA,15.8,21.3,2.2,0,0,0,0,0,0,0,0,0,0,60.7,River,"Dommel | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 (St Oedenrode 6-6) | 1859 | Table S1 | Poly_Other includes Acr/PUR (10.3%), Rubbers (13.3%), Others (37.2%).",NA,NA,NA
REC_01885,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.564389,5.425714,2018,Aug,2018,2018,Aug,Aug,Summer,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.3 L,Oxidative,ZnCl2,1636,NA,NA,NA,NA,NA,19.9,23.7,2,0,0,0,0,0,0,0,0,0,0,54.4,River,"Dommel | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 (St Oedenrode 21-8-R2) | 1636 | Table S1 | Replicate 2. Poly_Other includes Acr/PUR (22.7%), Rubbers (11.7%), Others (20.0%).",NA,NA,NA
REC_01929,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.564389,5.425714,2018,Aug,2018,2018,Aug,Aug,Summer,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.3 L,Oxidative,ZnCl2,1531,NA,NA,NA,NA,NA,14.9,20.4,0.5,0,0,0,0,0,0,0,0,0,0,64.2,River,"Dommel | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 (St Oedenrode 21-8-R3) | 1531 | Table S1 | Replicate 3. Poly_Other includes Acr/PUR (17.4%), Rubbers (19.3%), Others (27.6%).",NA,NA,NA
REC_02009,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.19946,5.981864,2017,Oct,2017,2017,Oct,Oct,Autumn,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.4 L,Oxidative,ZnCl2,1381,NA,NA,NA,NA,NA,31.2,22.4,0.9,0,0,0,0,0,0,0,0,0,0,45.5,River,"Meuse | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S7 | 1381 | Table S1 | Poly_Other includes Acr/PUR (8.0%), Rubbers (14.5%), Others (23.0%).",NA,NA,NA
REC_02070,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,50.779497,5.699936,2018,Feb,2018,2018,Feb,Feb,Winter,Other/Undefined,Pump with stacked sieves,Pumps,20,15 cm,0.5 L,Oxidative,ZnCl2,1228,NA,NA,NA,NA,NA,10.9,5.1,0.2,0,0,0,0,0,0,0,0,0,0,83.8,River,"Meuse | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 (Eijsden 13-2) | 1228 | Table S1 | Poly_Other includes Acr/PUR (41.7%), Rubbers (35.6%), Others (6.6%).",NA,NA,NA
REC_02098,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.564389,5.425714,2018,Aug,2018,2018,Aug,Aug,Summer,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.3 L,Oxidative,ZnCl2,1192,NA,NA,NA,NA,NA,23.6,38.1,2.3,0,0,0,0,0,0,0,0,0,0,36,River,"Dommel | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 (St Oedenrode 21-8-R1) | 1192 | Table S1 | Replicate 1. Poly_Other includes Acr/PUR (13.1%), Rubbers (12.1%), Others (10.8%).",NA,NA,NA
REC_02108,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,50.779497,5.699936,2018,Jun,2018,2018,Jun,Jun,Summer,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.65 L,Oxidative,ZnCl2,1160,NA,NA,NA,NA,NA,32.5,10.7,2.7,0,0,0,0,0,0,0,0,0,0,54.1,River,"Meuse | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S7 (Eijsden 6-6) | 1160 | Table S1 | Poly_Other includes Acr/PUR (5.5%), Rubbers (27.8%), Others (20.8%).",NA,NA,NA
REC_02219,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.238896,6.006217,2017,Oct,2017,2017,Oct,Oct,Autumn,Other/Undefined,Pump with stacked sieves,Pumps,20,10-30 cm,0.2 L,Oxidative,ZnCl2,942,NA,NA,NA,NA,NA,29.4,22.8,0.1,0,0,0,0,0,0,0,0,0,0,47.7,River,"Meuse | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S7 | 942 | Table S1 | Poly_Other includes Acr/PUR (7.0%), Rubbers (18.6%), Others (22.0%).",NA,NA,NA
REC_02251,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.806161,5.025366,2017,Oct,2017,2017,Oct,Oct,Autumn,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.105 L,Oxidative,ZnCl2,876,NA,NA,NA,NA,NA,24.5,17.9,0.8,0,0,0,0,0,0,0,0,0,0,56.8,River,"Afgedamde Maas | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 | 876 | Table S1 | Poly_Other includes Acr/PUR (2.4%), Rubbers (48.3%), Others (5.9%).",NA,NA,NA
REC_02264,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,50.779497,5.699936,2017,Oct,2017,2017,Oct,Oct,Autumn,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.98 L,Oxidative,ZnCl2,849,NA,NA,NA,NA,NA,27.1,29.1,0.4,0,0,0,0,0,0,0,0,0,0,43.4,River,"Meuse | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 (Eijsden 19-10) | 849 | Table S1 | Poly_Other includes Acr/PUR (11.3%), Rubbers (25.0%), Others (7.3%).",NA,NA,NA
REC_02306,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.72003,4.884695,2017,Nov,2017,2017,Nov,Nov,Autumn,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.51 L,Oxidative,ZnCl2,789,NA,NA,NA,NA,NA,34.1,11,0.4,0,0,0,0,0,0,0,0,0,0,54.5,River,"Meuse | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 | 789 | Table S1 | Poly_Other includes Acr/PUR (8.1%), Rubbers (41.8%), Others (4.6%).",NA,NA,NA
REC_02344,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.564389,5.425714,2017,Oct,2017,2017,Oct,Oct,Autumn,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.1 L,Oxidative,ZnCl2,721,NA,NA,NA,NA,NA,25.2,28.3,0,0,0,0,0,0,0,0,0,0,0,46.5,River,"Dommel | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 | 721 | Table S1 | Poly_Other includes Acr/PUR (7.4%), Rubbers (26.1%), Others (13.0%).",NA,NA,NA
REC_02407,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.72549,4.797129,2018,Apr,2018,2018,Apr,Apr,Spring,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.98 L,Oxidative,ZnCl2,607,NA,NA,NA,NA,NA,34.4,4,0.3,0,0,0,0,0,0,0,0,0,0,61.3,Reservoir,"De Biesbosch | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S7 | 607 | Table S1 | Poly_Other includes Acr/PUR (2.0%), Rubbers (54.9%), Others (4.3%).",NA,NA,NA
REC_02431,Mintenig_2020_Asystemsap,A systems approach to understand microplastic occurrence and variability in Dutch riverine surface waters,2020,S.M. Mintenig,Yes,1,51.410085,5.436638,2017,Oct,2017,2017,Oct,Oct,Autumn,Other/Undefined,Pump with stacked sieves,Pumps,20,upper 5 cm,0.5 L,Oxidative,ZnCl2,587,NA,NA,NA,NA,NA,31,37.6,1.5,0,0,0,0,0,0,0,0,0,0,29.9,River,"Dommel | Netherlands   | KOH; H2O2 | ZnCl2 | FTIR microscopy | Table S1; Table S3 | 587 | Table S1 | Poly_Other includes Acr/PUR (3.2%), Rubbers (25.7%), Others (0.9%).",NA,NA,NA
