Rank,Annual_Load_items_y,Basin_ID,Country,Region,Specific_Location,Lat,Lon
1,20327030167.47023,434303,China,Jiangsu Sheng,Dongshan,31.903606679920156,118.8491944397868
2,2977735235.1760616,742610,United States,Kentucky,La Center,37.243133713573854,-88.97076831425015
3,2017824118.2335377,434301,China,Jiangsu Sheng,Zhengdonglu,32.217814494159704,119.49113560316479
4,1507827736.3816962,434100,China,Jiangsu Sheng,Huzhuang,32.345549809606815,120.00904641237108
5,1254475870.5649776,742709,United States,Missouri,St. Louis,38.6161113956494,-90.18404730950886
6,1253222908.5598488,742707,United States,Missouri,Crystal City,38.145012880319435,-90.3155960602066
7,1200309627.294127,742703,United States,Missouri,Jackson,37.50763278491843,-89.62718912638279
8,1151137888.172958,742705,United States,Illinois,Chester,37.831995631820945,-89.84050360736026
9,1031760796.7781004,521801,Indonesia,East Kalimantan,Sebulu,-0.21960143628940068,116.9426087353703
10,850671942.3427365,742650,United States,Illinois,Elizabethtown,37.53264412469765,-88.24655459695653
