Unique_ID,Study_ID,Title,Year,First_Author,Latitude,Longitude,Season_Calculated,Gear_Category,Std_Value_m3,Separation_Category,Shape_Fiber,Shape_Fragment,Shape_Pellet,Shape_Film,Shape_Other,Poly_PE,Poly_PP,Poly_PS,Poly_PET,Poly_PVC,Poly_PA,Poly_PC,Poly_PU,Note,Samp_Year_Start,Samp_Year_End,Mesh_Size_um,dis_m3_pyr,run_mm_syr,lkv_mc_usu,rev_mc_usu,ria_ha_ssu,ria_ha_usu,riv_tc_ssu,riv_tc_usu,ele_mt_sav,ele_mt_uav,slp_dg_sav,slp_dg_uav,sgr_dk_sav,tmp_dc_syr,tmp_dc_uyr,pre_mm_syr,pre_mm_uyr,pet_mm_syr,pet_mm_uyr,aet_mm_syr,aet_mm_uyr,crp_pc_sse,crp_pc_use,pst_pc_sse,pst_pc_use,wet_pc_sg1,wet_pc_ug1,wet_pc_sg2,wet_pc_ug2,pop_ct_ssu,pop_ct_usu,urb_pc_sse,urb_pc_use,rdd_mk_sav,rdd_mk_uav,hft_ix_s09,hft_ix_u09,hdi_ix_sav,HYBAS_ID
REC_00002,Azizi_2022_Microplast,"Microplastic pollution in the water and sediment of Krukut River, Jakarta, Indonesia",2022,A Azizi,-6.219594,106.817517,Summer,Nets,2650000.0,NaCl,44.3,13.3,35.8,6.5,0.0,,,,,,,,,"Krukut River | Jakarta | Commercial; Residential  | Wet Peroxide Oxidation (30% H2O2, 0.05 M Fe(II)) | NaCl | Microscopy (Stereo Olympus SZH10) | Abstract; Section 2.1; Figure 4a | downstream water... (265 ?? 5.0 particle/100 ml) | Visual estimation from Fig 1 (Map labels) | Authors report density separation with NaCl at 1.5 gcm-3, which is chemically unlikely for pure NaCl. High concentration (particle/100 mL) reported consistently in text.",2020.0,2020.0,400.0,8.116,1589.0,0.0,0.0,561940.0,561940.0,283704.0,283704.0,34.0,34.0,0.6000000000000001,0.6000000000000001,2.2,27.200000000000003,27.200000000000003,2181.0,2181.0,1676.0,1676.0,1425.0,1425.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2245922.0,2245921.0,100.0,100.0,10343.0,10343.0,34.5,34.5,0.6960000000000001,5120202070.0
REC_00003,Verma_2025_Spatialand,"Spatial and seasonal variations in abundance, distribution characteristics, and sources of microplastics in surface water of Mula river in Pune, India",2025,Meenakshi Verma,18.5881,73.7603,Spring,Bulk Water,2413000.0,NaCl,,,,42.0,,14.0,15.0,7.14,,,,7.0,,"Mula River | Pune, Maharashtra | Industrial/Transportation hub | 3449/km2 | Fenton's reagent (30 % H2O2: Fe II) | NaCl | Visual microscopy; FTIR (ATR) for subset | Table 2 | Wakad & Pre-monsoon ... 2413 ?? 445 | Table 1 | Poly_Other includes EVA (50%) and PE+PET mix (7%). Polymer composition is seasonal average applied to site. Shape % from text description for this site/season. Sampling year estimated as 2023 based on paper timeline (submitted Sep 2024, sampled March/Nov).",2023.0,2023.0,25.0,38.623,1198.0,528000000.0,523000000.0,1147610.0,4452930.0,1757694.0,4778249.0,613.0,685.0,3.5,8.4,5.800000000000001,24.6,24.0,1119.0,2303.0,1710.0,1588.0,797.0,817.0,39.0,50.0,3.0,4.0,0.0,7.0,0.0,0.0,149310.0,250162.0,69.0,15.0,3451.0,837.0,33.5,22.5,0.776,4121067310.0
REC_00005,Azizi_2022_Microplast,"Microplastic pollution in the water and sediment of Krukut River, Jakarta, Indonesia",2022,A Azizi,-6.297472,106.805373,Summer,Nets,2210000.0,NaCl,43.5,9.1,35.5,11.9,0.0,,,,,,,,,"Krukut River | Jakarta   | Wet Peroxide Oxidation (30% H2O2, 0.05 M Fe(II)) | NaCl | Microscopy (Stereo Olympus SZH10) | Abstract; Section 2.1; Figure 4a | middle (221 ?? 3.0 particle/100 mL) | Visual estimation from Fig 1 (Map labels) | Authors report density separation with NaCl at 1.5 gcm-3, which is chemically unlikely for pure NaCl. High concentration (particle/100 mL) reported consistently in text.",2020.0,2020.0,400.0,8.116,1589.0,0.0,0.0,561940.0,561940.0,283704.0,283704.0,34.0,34.0,0.6000000000000001,0.6000000000000001,2.2,27.200000000000003,27.200000000000003,2181.0,2181.0,1676.0,1676.0,1425.0,1425.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2245922.0,2245921.0,100.0,100.0,10343.0,10343.0,34.5,34.5,0.6960000000000001,5120202070.0
REC_00006,Azizi_2022_Microplast,"Microplastic pollution in the water and sediment of Krukut River, Jakarta, Indonesia",2022,A Azizi,-6.343858,106.799071,Summer,Nets,2150000.0,NaCl,35.4,14.1,34.2,16.3,0.0,,,,,,,,,"Krukut River | Jakarta   | Wet Peroxide Oxidation (30% H2O2, 0.05 M Fe(II)) | NaCl | Microscopy (Stereo Olympus SZH10) | Abstract; Section 2.1; Figure 4a | upstream (215 ?? 1.5 particle/100 mL) | Visual estimation from Fig 1 (Map labels) | Authors report density separation with NaCl at 1.5 gcm-3, which is chemically unlikely for pure NaCl. High concentration (particle/100 mL) reported consistently in text.",2020.0,2020.0,400.0,8.116,1589.0,0.0,0.0,561940.0,561940.0,283704.0,283704.0,34.0,34.0,0.6000000000000001,0.6000000000000001,2.2,27.200000000000003,27.200000000000003,2181.0,2181.0,1676.0,1676.0,1425.0,1425.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2245922.0,2245921.0,100.0,100.0,10343.0,10343.0,34.5,34.5,0.6960000000000001,5120202070.0
REC_00007,Verma_2025_Spatialand,"Spatial and seasonal variations in abundance, distribution characteristics, and sources of microplastics in surface water of Mula river in Pune, India",2025,Meenakshi Verma,18.5741,73.8322,Spring,Bulk Water,2030000.0,NaCl,,,,,,14.0,15.0,7.14,,,,7.0,,"Mula River | Pune, Maharashtra | Industrial/Residential  | Fenton's reagent (30 % H2O2: Fe II) | NaCl | Visual microscopy; FTIR (ATR) for subset | Table 2 | Bopodi & Pre-monsoon ... 2030 ?? 243 | Table 1 | Film mentioned as major shape, but no % given. Polymer composition is seasonal average applied to site.",2023.0,2023.0,25.0,24.623,1082.0,179000000.0,0.0,943550.0,3071600.0000000005,1321309.0,3046180.0,580.0,647.0,1.0,5.0,2.8000000000000003,24.8,24.3,964.0,2101.0,1739.0,1628.0,760.0,811.0,43.0,58.0,1.0,4.0,0.0,4.0,0.0,0.0,182883.0,317443.0,90.0,29.0,4980.0,1393.0,37.1,24.4,0.776,4121067250.0
REC_00010,Kankanige_2021_Contaminat,Contamination by ???6.5 ??m-sized microplastics and their removability in a conventional water treatment plant (WTP) in Thailand,2021,Dinuka Kankanige,14.0208,100.525,Summer,Bulk Water,1796600.0,Not Reported,,,,,,,,,,,,,,"Source Canal (Chao Phraya River) | Pathum Thani | Urban/Industrial  | H2O2 + Fe(II) (Wet Peroxide Oxidation) | Optical microscopy, Nile Red, ATR-FTIR, Raman | Figure 2 E (Data Table embedded in image) | 1796.6 | Calculated center point of range (Pathum Thani, Thailand) | Not reported in text | Sampling date inferred from precipitation data discussion (July 2019). Raw water intake for WTP. Fibers were the dominant shape overall.",2019.0,2019.0,6.5,811.597,453.0,31500000000.0,30986000000.0,1791650.0,381374300.0,7697152.0,614977625.0,5.0,368.0,0.0,6.300000000000001,0.4,28.1,26.0,1422.0,1190.0,1673.0,1733.0,1037.0,966.0,54.0,27.0,0.0,0.0,100.0,4.0,100.0,4.0,117667.0,12607950.0,87.0,4.0,3229.0,386.0,35.0,11.5,0.74,4121123330.0
REC_00012,Verma_2025_Spatialand,"Spatial and seasonal variations in abundance, distribution characteristics, and sources of microplastics in surface water of Mula river in Pune, India",2025,Meenakshi Verma,18.5638,73.7896,Autumn,Bulk Water,1720000.0,NaCl,,,,31.0,,17.0,17.0,,,,8.0,,,"Mula River | Pune, Maharashtra | Residential  | Fenton's reagent (30 % H2O2: Fe II) | NaCl | Visual microscopy; FTIR (ATR) for subset | Table 2 | Aundh & Post-monsoon ... 1720 ?? 96 | Table 1 | Polymer composition is seasonal average applied to site.",2023.0,2023.0,25.0,38.623,1198.0,528000000.0,523000000.0,1147610.0,4452930.0,1757694.0,4778249.0,613.0,685.0,3.5,8.4,5.800000000000001,24.6,24.0,1119.0,2303.0,1710.0,1588.0,797.0,817.0,39.0,50.0,3.0,4.0,0.0,7.0,0.0,0.0,149310.0,250162.0,69.0,15.0,3451.0,837.0,33.5,22.5,0.776,4121067310.0
REC_00014,HuesoKorte_2025_Microplast,"Microplastics in Inland Saline Lakes of the Central Ebro Basin, NE Spain",2025,Katia Hueso-Kortekaas,41.412354,-0.151142,Winter,Bulk Water,1556000.0,Other,98.4,1.6,0.0,0.0,0.0,0.0,5.9,0.0,23.4,2.0,9.9,0.0,0.0,"Pito Lake | Aragon (Huesca/Zaragoza/Teruel) | Industrial/Agricultural | Low | H2O2 (30%) | None (Filtration only) | Optical microscopy and micro-FTIR | Table 1; Table 2; Figure 5d | Table 1: D Pito... Table 2: D 1556 ?? 59 MPs/L... Fiber (98.4%); fragment (1.6%) | Table 1 | Poly_Other includes Polyester (33.2%), Polyacrylonitrile (labeled PA in paper, 23.7%), and Styrene/Butadiene Copolymer (STY/BUT, 2.0%). Poly_PA = Nylon (9.9%).",2022.0,2022.0,5.0,0.384,52.0,11000000.0,0.0,104030.0,104030.0,15585.0,15585.0,321.0,321.0,2.0,2.0,9.6,14.1,14.1,404.0,404.0,1071.0,1071.0,347.0,347.0,58.0,58.0,13.0,13.0,1.0,1.0,0.0,0.0,2364.0,2364.0,0.0,0.0,152.0,151.0,5.6000000000000005,5.6000000000000005,0.9,2120617650.0
REC_00015,Verma_2025_Spatialand,"Spatial and seasonal variations in abundance, distribution characteristics, and sources of microplastics in surface water of Mula river in Pune, India",2025,Meenakshi Verma,18.5881,73.7603,Autumn,Bulk Water,1530000.0,NaCl,,,,29.0,,17.0,17.0,,,,8.0,,,"Mula River | Pune, Maharashtra | Industrial/Transportation hub | 3449/km2 | Fenton's reagent (30 % H2O2: Fe II) | NaCl | Visual microscopy; FTIR (ATR) for subset | Table 2 | Wakad & Post-monsoon ... 1530 ?? 183 | Table 1 | Poly_Other includes EVA (58%). Polymer composition is seasonal average applied to site. Shape % from text description for this site/season.",2023.0,2023.0,25.0,38.623,1198.0,528000000.0,523000000.0,1147610.0,4452930.0,1757694.0,4778249.0,613.0,685.0,3.5,8.4,5.800000000000001,24.6,24.0,1119.0,2303.0,1710.0,1588.0,797.0,817.0,39.0,50.0,3.0,4.0,0.0,7.0,0.0,0.0,149310.0,250162.0,69.0,15.0,3451.0,837.0,33.5,22.5,0.776,4121067310.0
REC_00017,HuesoKorte_2025_Microplast,"Microplastics in Inland Saline Lakes of the Central Ebro Basin, NE Spain",2025,Katia Hueso-Kortekaas,41.482195,-0.160151,Winter,Bulk Water,1486000.0,Other,100.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,16.9,0.0,5.5,0.0,0.0,"Salineta Lake | Aragon (Huesca/Zaragoza/Teruel) | Industrial/Agricultural | Low | H2O2 (30%) | None (Filtration only) | Optical microscopy and micro-FTIR | Table 1; Table 2; Figure 5c | Table 1: C Salineta... Table 2: C 1486 ?? 100 MPs/L... Fiber (100%) | Table 1 | Poly_Other includes Polyester (49.6%) and Polyacrylonitrile (labeled PA in paper, 14.2%). Poly_PA = Nylon (5.5%).",2022.0,2022.0,5.0,1.254,80.0,0.0,0.0,98940.0,254450.0,17827.0,42508.0,361.0,415.0,2.0,2.4000000000000004,7.300000000000001,13.7,13.2,414.0,421.0,1064.0,1046.0,356.0,363.0,58.0,54.0,27.0,25.0,0.0,0.0,0.0,0.0,917.0,1954.0,0.0,0.0,236.0,178.0,10.9,8.5,0.9,2121214000.0
